ROW NUMBER=20000 (cgs units)
Nr=100
Nz=200
r[cm],z/r,z[cm],n_H[cm**-3],Tgas[K],tauv_star,tauv_zup,tauv_zdn,dtauv_z,Tdust[K]
 5.271E+11, 4.435E-01, 2.338E+11, 5.604E-101, 1.948E+03, 3.286E-112, 2.595E-114, 6.536E+04, 2.590E-114, 1.610E+03
 5.271E+11, 4.494E-01, 2.369E+11, 5.497E-104, 1.948E+03, 3.606E-115, 5.082E-117, 6.536E+04, 2.541E-117, 1.612E+03
 5.271E+11, 4.553E-01, 2.400E+11, 5.497E-104, 1.948E+03, 3.606E-115, 2.541E-117, 6.536E+04, 2.541E-117, 1.612E+03
 5.271E+11, 4.612E-01, 2.431E+11, 1.152E-109, 1.928E+03, 2.975E-120, 5.325E-123, 6.536E+04, 5.325E-123, 1.588E+03
 5.271E+11, 4.670E-01, 2.462E+11, 8.955E-114, 1.929E+03, 2.421E-124, 4.139E-127, 6.536E+04, 4.139E-127, 1.588E+03
 5.271E+11, 4.729E-01, 2.493E+11, 2.822E-119, 1.927E+03, 1.732E-128, 1.304E-132, 6.536E+04, 1.304E-132, 1.586E+03
 5.271E+11, 4.788E-01, 2.524E+11, 9.302E-125, 1.925E+03, 1.172E-132, 4.300E-138, 6.536E+04, 4.300E-138, 1.585E+03
 5.271E+11, 4.847E-01, 2.555E+11, 7.721E-130, 1.924E+03, 1.170E-137, 3.569E-143, 6.536E+04, 3.569E-143, 1.583E+03
 5.271E+11, 4.906E-01, 2.586E+11, 4.912E-135, 1.923E+03, 9.753E-143, 2.270E-148, 6.536E+04, 2.270E-148, 1.582E+03
 5.271E+11, 4.965E-01, 2.617E+11, 1.728E-140, 1.921E+03, 2.572E-147, 1.598E-153, 6.536E+04, 7.988E-154, 1.580E+03
 5.271E+11, 5.024E-01, 2.648E+11, 1.728E-140, 1.921E+03, 2.572E-147, 7.989E-154, 6.536E+04, 7.988E-154, 1.580E+03
 5.271E+11, 5.083E-01, 2.679E+11, 6.698E-146, 1.919E+03, 6.781E-152, 3.097E-159, 6.536E+04, 3.096E-159, 1.578E+03
 5.271E+11, 5.142E-01, 2.710E+11, 1.801E-149, 1.899E+03, 1.576E-157, 8.325E-163, 6.536E+04, 8.325E-163, 1.556E+03
 5.271E+11, 5.201E-01, 2.741E+11, 1.465E-155, 1.897E+03, 3.611E-163, 6.773E-169, 6.536E+04, 6.773E-169, 1.555E+03
 5.271E+11, 5.260E-01, 2.772E+11, 1.036E-161, 1.896E+03, 3.563E-169, 4.788E-175, 6.536E+04, 4.788E-175, 1.553E+03
 5.271E+11, 5.319E-01, 2.803E+11, 8.334E-168, 1.895E+03, 3.515E-175, 7.704E-181, 6.536E+04, 3.852E-181, 1.552E+03
 5.271E+11, 5.377E-01, 2.834E+11, 8.334E-168, 1.895E+03, 3.515E-175, 3.852E-181, 6.536E+04, 3.852E-181, 1.552E+03
 5.271E+11, 5.436E-01, 2.865E+11, 2.832E-174, 1.894E+03, 1.315E-180, 1.309E-187, 6.536E+04, 1.309E-187, 1.550E+03
 5.271E+11, 5.495E-01, 2.896E+11, 8.688E-181, 1.893E+03, 4.921E-186, 4.016E-194, 6.536E+04, 4.016E-194, 1.549E+03
 5.271E+11, 5.554E-01, 2.928E+11, 3.874E-189, 1.892E+03, 1.034E-192, 1.791E-202, 6.536E+04, 1.791E-202, 1.548E+03
 5.271E+11, 5.613E-01, 2.959E+11, 4.895E-196, 1.890E+03, 2.171E-199, 2.263E-209, 6.536E+04, 2.263E-209, 1.547E+03
 5.271E+11, 5.672E-01, 2.990E+11, 2.743E-204, 1.870E+03, 1.828E-206, 2.535E-217, 6.536E+04, 1.268E-217, 1.525E+03
 5.271E+11, 5.731E-01, 3.021E+11, 2.743E-204, 1.870E+03, 1.828E-206, 1.268E-217, 6.536E+04, 1.268E-217, 1.525E+03
 5.271E+11, 5.790E-01, 3.052E+11, 1.250E-211, 1.867E+03, 1.538E-213, 5.776E-225, 6.536E+04, 5.776E-225, 1.523E+03
 5.271E+11, 5.849E-01, 3.083E+11, 1.050E-220, 1.865E+03, 4.188E-221, 4.853E-234, 6.536E+04, 4.853E-234, 1.522E+03
 5.271E+11, 5.908E-01, 3.114E+11, 3.826E-229, 1.863E+03, 1.140E-228, 1.768E-242, 6.536E+04, 1.768E-242, 1.520E+03
 5.271E+11, 5.967E-01, 3.145E+11, 1.056E-238, 1.863E+03, 1.029E-236, 9.763E-252, 6.536E+04, 4.881E-252, 1.520E+03
 5.271E+11, 6.026E-01, 3.176E+11, 1.056E-238, 1.863E+03, 1.029E-236, 4.881E-252, 6.536E+04, 4.881E-252, 1.520E+03
 5.271E+11, 6.084E-01, 3.207E+11, 1.486E-249, 1.863E+03, 9.283E-245, 6.871E-263, 6.536E+04, 6.871E-263, 1.519E+03
 5.271E+11, 6.143E-01, 3.238E+11, 2.132E-260, 1.845E+03, 2.601E-253, 9.853E-274, 6.536E+04, 9.853E-274, 1.500E+03
 5.271E+11, 6.202E-01, 3.269E+11, 1.452E-269, 1.845E+03, 7.286E-262, 6.711E-283, 6.536E+04, 6.711E-283, 1.499E+03
 5.271E+11, 6.261E-01, 3.300E+11, 5.199E-277, 1.842E+03, 5.082E-271, 2.259E-288, 6.536E+04, 2.403E-290, 1.497E+03
 5.271E+11, 6.320E-01, 3.331E+11, 5.199E-277, 1.842E+03, 5.082E-271, 2.235E-288, 6.536E+04, 2.403E-290, 1.497E+03
 5.271E+11, 6.379E-01, 3.362E+11, 5.199E-277, 1.839E+03, 3.545E-280, 2.211E-288, 6.536E+04, 2.403E-290, 1.495E+03
 5.271E+11, 6.438E-01, 3.393E+11, 5.199E-277, 1.837E+03, 5.611E-290, 2.187E-288, 6.536E+04, 2.403E-290, 1.493E+03
 5.271E+11, 6.497E-01, 3.424E+11, 5.199E-277, 1.837E+03, 5.611E-290, 2.163E-288, 6.536E+04, 2.403E-290, 1.493E+03
 5.271E+11, 6.556E-01, 3.455E+11, 5.199E-277, 1.835E+03, 8.882E-300, 2.139E-288, 6.536E+04, 2.403E-290, 1.491E+03
 5.271E+11, 6.615E-01, 3.487E+11, 5.199E-277, 1.833E+03, 2.980E-300, 2.115E-288, 6.536E+04, 2.403E-290, 1.490E+03
 5.271E+11, 6.674E-01, 3.518E+11, 5.199E-277, 1.816E+03, 1.000E-300, 2.091E-288, 6.536E+04, 2.403E-290, 1.471E+03
 5.271E+11, 6.733E-01, 3.549E+11, 5.199E-277, 1.815E+03, 1.000E-300, 2.067E-288, 6.536E+04, 2.403E-290, 1.471E+03
 5.271E+11, 6.791E-01, 3.580E+11, 5.199E-277, 1.815E+03, 1.000E-300, 2.043E-288, 6.536E+04, 2.403E-290, 1.471E+03
 5.271E+11, 6.850E-01, 3.611E+11, 5.199E-277, 1.815E+03, 1.000E-300, 2.019E-288, 6.536E+04, 2.403E-290, 1.471E+03
 5.271E+11, 6.909E-01, 3.642E+11, 5.199E-277, 1.814E+03, 1.000E-300, 1.994E-288, 6.536E+04, 2.403E-290, 1.469E+03
 5.271E+11, 6.968E-01, 3.673E+11, 5.199E-277, 1.814E+03, 1.000E-300, 1.970E-288, 6.536E+04, 2.403E-290, 1.469E+03
 5.271E+11, 7.027E-01, 3.704E+11, 5.199E-277, 1.812E+03, 1.000E-300, 1.946E-288, 6.536E+04, 2.403E-290, 1.468E+03
 5.271E+11, 7.086E-01, 3.735E+11, 5.199E-277, 1.794E+03, 1.000E-300, 1.922E-288, 6.536E+04, 2.403E-290, 1.449E+03
 5.271E+11, 7.145E-01, 3.766E+11, 5.199E-277, 1.792E+03, 1.000E-300, 1.898E-288, 6.536E+04, 2.403E-290, 1.448E+03
 5.271E+11, 7.204E-01, 3.797E+11, 5.199E-277, 1.792E+03, 1.000E-300, 1.874E-288, 6.536E+04, 2.403E-290, 1.448E+03
 5.271E+11, 7.263E-01, 3.828E+11, 5.199E-277, 1.792E+03, 1.000E-300, 1.850E-288, 6.536E+04, 2.403E-290, 1.447E+03
 5.271E+11, 7.322E-01, 3.859E+11, 5.199E-277, 1.792E+03, 1.000E-300, 1.826E-288, 6.536E+04, 2.403E-290, 1.446E+03
 5.271E+11, 7.381E-01, 3.890E+11, 5.199E-277, 1.792E+03, 1.000E-300, 1.802E-288, 6.536E+04, 2.403E-290, 1.446E+03
 5.271E+11, 7.440E-01, 3.921E+11, 5.199E-277, 1.791E+03, 1.000E-300, 1.778E-288, 6.536E+04, 2.403E-290, 1.445E+03
 5.271E+11, 7.499E-01, 3.952E+11, 5.199E-277, 1.790E+03, 1.000E-300, 1.754E-288, 6.536E+04, 2.403E-290, 1.444E+03
 5.271E+11, 7.557E-01, 3.983E+11, 5.199E-277, 1.790E+03, 1.000E-300, 1.730E-288, 6.536E+04, 2.403E-290, 1.444E+03
 5.271E+11, 7.616E-01, 4.014E+11, 5.199E-277, 1.773E+03, 1.000E-300, 1.706E-288, 6.536E+04, 2.403E-290, 1.426E+03
 5.271E+11, 7.675E-01, 4.046E+11, 5.199E-277, 1.771E+03, 1.000E-300, 1.682E-288, 6.536E+04, 2.403E-290, 1.425E+03
 5.271E+11, 7.734E-01, 4.077E+11, 5.199E-277, 1.771E+03, 1.000E-300, 1.658E-288, 6.536E+04, 2.403E-290, 1.425E+03
 5.271E+11, 7.793E-01, 4.108E+11, 5.199E-277, 1.770E+03, 1.000E-300, 1.634E-288, 6.536E+04, 2.403E-290, 1.424E+03
 5.271E+11, 7.852E-01, 4.139E+11, 5.199E-277, 1.768E+03, 1.000E-300, 1.610E-288, 6.536E+04, 2.403E-290, 1.423E+03
 5.271E+11, 7.911E-01, 4.170E+11, 5.199E-277, 1.768E+03, 1.000E-300, 1.586E-288, 6.536E+04, 2.403E-290, 1.423E+03
 5.271E+11, 7.970E-01, 4.201E+11, 5.199E-277, 1.765E+03, 1.000E-300, 1.562E-288, 6.536E+04, 2.403E-290, 1.421E+03
 5.271E+11, 8.029E-01, 4.232E+11, 5.199E-277, 1.749E+03, 1.000E-300, 1.538E-288, 6.536E+04, 2.403E-290, 1.404E+03
 5.271E+11, 8.088E-01, 4.263E+11, 5.199E-277, 1.749E+03, 1.000E-300, 1.514E-288, 6.536E+04, 2.403E-290, 1.404E+03
 5.271E+11, 8.147E-01, 4.294E+11, 5.199E-277, 1.747E+03, 1.000E-300, 1.490E-288, 6.536E+04, 2.403E-290, 1.402E+03
